How do you feel is the hostel annual room rent when compared to outside private hostel accommodation in Thanjavur / Trichy?,Do you think the answer to the above is based on comparable hostel accommodation?,How do you feel is the hostel annual room rent when compared to other private universities?,How do you compare your hostel with other private accommodation outside? [Hostel Security],How do you compare your hostel with other private accommodation outside? [Room Comfort],How do you compare your hostel with other private accommodation outside? [Food quality],How do you compare your hostel with other private accommodation outside? [Food variety],How do you compare your hostel with other private accommodation outside? [Cleanliness of room],How do you compare your hostel with other private accommodation outside? [Cleanliness of Toilets],How do you compare your hostel with other private accommodation outside? [Hot water Geyser],How do you compare your hostel with other private accommodation outside? [Cooking utilities],"How do you compare your hostel with other private accommodation outside? [Support facilities like hospital, generator, etc.]",How do you compare your hostel with other private accommodation outside? [Entertainment & Sports],How do you compare your hostel with other private accommodation outside? [Wi-Fi & Power],How do you compare your hostel with other private accommodation outside? [Room Infra],How do you compare your hostel with other private accommodation outside? [Hostel Rules],How do you compare your hostel with other private accommodation outside? [Hostel Rent],How do you compare your hostel with other private accommodation outside? [Mess fee],How do you compare your hostel with other private accommodation outside? [Water availability],How do you compare your hostel with other private accommodation outside? [Room mate],How do you compare your hostel with other private accommodation outside? [Support staff],"If changes need to be made on the above, what is the one change in each or any rule subject to reasonable restriction wherever required and possible"
Lower,"No, hostel is better",Lower,Same,Same,Inferior,Same,Same,Same,Same,Inferior,Same,Inferior,Same,Same,Same,Better,Inferior,Same,Same,Same,Permissions per semester
Lower,"Yes, comparable",Lower,Better,Better,Better,Better,Better,Same,Better,Better,Better,Better,Better,Same,Same,Same,Inferior,Better,Same,Better,Permissions per semester
Same,"No, outside is better",Same,Better,Same,Inferior,Inferior,Better,Same,Better,Same,Same,Better,Inferior,Better,Same,Same,Inferior,Better,Better,Better,More Permissions per semester 
Lower,"No, hostel is better",Lower,Better,Same,Same,Same,Better,Better,Better,Better,Better,Same,Better,Better,Better,Same,Same,Better,Better,Same,Mess timings can be increased.
Lower,"No, hostel is better",Lower,Same,Same,Better,Better,Better,Better,Better,Better,Better,Better,Same,Better,Same,Better,Better,Better,Better,Better,Mess Food Quality
Same,"No, hostel is better",Lower,Better,Same,Same,Better,Better,Better,Better,Same,Better,Better,Better,Same,Better,Better,Same,Better,Better,Same,Food can be improved more.
Same,"Yes, comparable",Same,Better,Same,Same,Same,Better,Better,Better,Same,Better,Better,Better,Same,Better,Same,Better,Better,Better,Better,Mess timing can be increased.
Lower,"Yes, comparable",Same,Better,Better,Same,Same,Better,Better,Better,Same,Better,Better,Same,Same,Better,Same,Better,Better,Better,Same,Food quality can be increased.
Lower,"Yes, comparable",Lower,Better,Same,Better,Same,Better,Better,Better,Same,Inferior,Same,Same,Better,Better,Better,Same,Better,Same,Better,"Changing rooms every semester might be hard for students,to adjust with new room mates "
Lower,"Yes, comparable",Lower,Better,Better,Inferior,Same,Better,Better,Same,Inferior,Better,Better,Better,Same,Same,Better,Same,Better,Inferior,Better,"Limited permissions per semester : 3 - 4
IN and OUT time : Till 10:00 PM"
Higher,"No, outside is better",Same,Same,Same,Inferior,Inferior,Same,Same,Same,Same,Same,Inferior,Same,Same,Same,Same,Same,Same,Same,Same,"Limited permissions per semester : No limit
IN and OUT time : 8 PM
Cross Mobility across hostels : Good
Regulating visits of parents during weekends : Required
Weekend shopping ( for girls ) : Badly needed.
Mess timings : There are good.
Wi-Fi rule : No rule needed.
Visitors restrictions : There should be no restrictions.
"
Same,"No, hostel is better",Lower,Better,Same,Same,Inferior,Same,Same,Same,Inferior,Same,Same,Inferior,Same,Same,Better,Same,Better,Better,Better,Limited permissions per semester : Increase number of permissions. 
Lower,"Yes, comparable",Lower,Same,Better,Better,Same,Same,Same,Inferior,Same,Better,Same,Better,Same,Better,Better,Same,Better,Better,Same,-
Lower,"No, hostel is better",Same,Same,Same,Same,Better,Better,Better,Same,Same,Same,Better,Same,Same,Better,Same,Same,Better,Same,Better,"Cross Mobility across hostels : To be avoided.
Regulating visits of parents during weekends : Once in Month.
Weekend shopping (for girls) : Sunday
Changing rooms every semester : Not advisable. "
Same,"Yes, comparable",Lower,Better,Same,Same,Same,Same,Same,Same,Same,Better,Same,Inferior,Same,Better,Better,Inferior,Better,Better,Better,Allow more permission during semester to go home and provide AC facilities in hostel 
Lower,"Yes, comparable",Same,Better,Inferior,Same,Same,Better,Better,Inferior,Inferior,Inferior,Same,Same,Same,Better,Better,Better,Same,Better,Better,"Extend mess time in the morning to 9:30 am, improve Quality, variety and tastier food, students can be left to leave hostel when parents come and ask them to leave"
Same,"Yes, comparable",Same,Better,Same,Same,Better,Same,Inferior,Same,Same,Same,Same,Same,Same,Better,Same,Same,Better,Better,Better,Limited permission per semester 
Same,"Yes, comparable",Higher,Better,Same,Same,Same,Same,Same,Same,Same,Better,Same,Same,Same,Same,Same,Same,Same,Better,Better,Want to give more permission per semester 
Same,"Yes, comparable",Lower,Better,Same,Inferior,Inferior,Better,Inferior,Better,Same,Same,Same,Same,Better,Better,Better,Inferior,Better,Better,Same,Limited permission per semester 
Same,"Yes, comparable",Same,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Mess Timings(early)
Lower,"Yes, comparable",Lower,Better,Same,Same,Same,Better,Better,Same,Same,Same,Same,Same,Same,Same,Better,Same,Same,Same,Same,Permission per semester can be increased as per need
Lower,"Yes, comparable",Lower,Better,Better,Inferior,Inferior,Better,Better,Better,Same,Better,Same,Better,Same,Better,Better,Same,Better,Better,Better,Weekend shopping for girls
Same,"Yes, comparable",Lower,Better,Same,Better,Inferior,Better,Better,Better,Same,Same,Same,Same,Same,Better,Better,Same,Better,Same,Same,Limited permissions per semester 
Lower,"Yes, comparable",Lower,Better,Better,Better,Inferior,Better,Better,Better,Same,Same,Inferior,Same,Same,Better,Better,Same,Better,Same,Same,Limited permissions per semester 
Same,"Yes, comparable",Same,Better,Same,Inferior,Inferior,Same,Same,Inferior,Same,Same,Inferior,Better,Same,Better,Better,Inferior,Better,Inferior,Same,Limited permissions per semester 
Same,"No, outside is better",Same,Better,Better,Inferior,Inferior,Better,Inferior,Inferior,Same,Better,Inferior,Better,Same,Better,Same,Same,Better,Same,Same,Limited permissions per semester 
Lower,"Yes, comparable",Same,Better,Same,Same,Inferior,Same,Same,Inferior,Inferior,Better,Inferior,Same,Inferior,Same,Better,Better,Same,Better,Same,None 
Same,"Yes, comparable",Lower,Same,Same,Same,Inferior,Same,Same,Inferior,Inferior,Better,Same,Same,Same,Same,Better,Better,Same,Same,Same,None 
Lower,"Yes, comparable",Lower,Better,Better,Inferior,Same,Inferior,Inferior,Better,Inferior,Inferior,Better,Better,Inferior,Better,Better,Same,Better,Better,Better,Food quality must be improved 
Lower,"Yes, comparable",Lower,Better,Same,Same,Inferior,Better,Inferior,Same,Same,Better,Better,Same,Same,Better,Same,Same,Better,Inferior,Same,No.of permissions can be given more
Same,"Yes, comparable",Lower,Better,Better,Better,Better,Same,Same,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Same,1.increase the wifi strength 
Same,"Yes, comparable",Lower,Better,Same,Same,Same,Same,Inferior,Same,Same,Same,Same,Better,Same,Better,Better,Better,Better,Better,Same,"For parents outing increase the timings
Mess bill can be reduced "
Lower,"Yes, comparable",Same,Better,Same,Same,Same,Better,Same,Better,Better,Better,Better,Same,Better,Better,Better,Better,Better,Better,Better,Mess timing for morning coffee can be increased and give fruit juice during summer
Same,"Yes, comparable",Same,Better,Same,Same,Same,Better,Inferior,Inferior,Same,Same,Better,Better,Better,Same,Better,Same,Better,Same,Same,1. No limit on parents outing 
Lower,"No, outside is better",Lower,Same,Same,Same,Inferior,Better,Same,Same,Inferior,Inferior,Inferior,Inferior,Same,Same,Better,Better,Better,Better,Better,none
Lower,"Yes, comparable",Lower,Better,Same,Same,Same,Same,Same,Inferior,Same,Same,Inferior,Same,Inferior,Better,Better,Better,Better,Better,Same,"can have more permissions, in and out time time can be increased can be allowed at night to go weekend with parents, wifi can be for phones"
Lower,"Yes, comparable",Lower,Better,Same,Inferior,Inferior,Same,Same,Same,Inferior,Same,Same,Same,Better,Better,Better,Better,Better,Better,Same,"during room changing in each semester, required to provide storage room for long distance students."
Lower,"No, hostel is better",Lower,Better,Same,Better,Better,Same,Same,Inferior,Inferior,Inferior,Inferior,Better,Better,Better,Better,Better,Better,Better,Better,To have more permissions per semester
Lower,"Yes, comparable",Lower,Better,Same,Same,Same,Same,Same,Same,Inferior,Same,Better,Same,Inferior,Same,Same,Same,Better,Inferior,Same,Increase no. of permissions per semester
Lower,"Yes, comparable",Lower,Better,Inferior,Better,Better,Better,Better,Better,Inferior,Inferior,Inferior,Inferior,Same,Same,Better,Same,Better,Same,Better,Permission to go out every Weekend should be allowed for girls 
Lower,"Yes, comparable",Lower,Better,Inferior,Same,Better,Better,Better,Better,Inferior,Inferior,Inferior,Inferior,Same,Same,Better,Same,Better,Same,Better,Permission to go out every weekend shud be allowed for girls.
Lower,"Yes, comparable",Lower,Better,Inferior,Inferior,Better,Inferior,Inferior,Same,Inferior,Same,Inferior,Inferior,Inferior,Inferior,Better,Inferior,Better,Better,Better,"Atleast 3 permissions per semester
In and Out time for girls can be 7 am to 8:30 pm
Parents should be allowed to visit whenever they want to
Allow for Shopping in every weekend
"
Lower,"Yes, comparable",Lower,Same,Better,Same,Better,Same,Same,Better,Inferior,Same,Inferior,Better,Better,Better,Same,Same,Better,Better,Same,Limited permissions per semester can be increased. 
Same,"No, hostel is better",Lower,Better,Better,Better,Better,Same,Same,Better,Same,Better,Same,Same,Same,Better,Same,Same,Same,Same,Same,Limited permissions per semester can be increased. 
Lower,"No, hostel is better",Same,Better,Same,Same,Same,Same,Inferior,Better,Inferior,Same,Same,Same,Same,Better,Better,Better,Better,Better,Better,Permission to go to hometown per semester can be increased to 4 times
Same,"Yes, comparable",Same,Better,Same,Same,Same,Better,Better,Better,Inferior,Same,Better,Same,Inferior,Better,Better,Better,Better,Better,Better,1.Vistiors restrictions can be reduced and it can be a bit lenient.
Same,"No, hostel is better",Same,Better,Inferior,Inferior,Inferior,Same,Same,Better,Inferior,Better,Same,Same,Inferior,Better,Same,Same,Better,Better,Better,Per semester permission can be increased
Lower,"No, hostel is better",Lower,Better,Inferior,Inferior,Inferior,Same,Same,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Better,Better,Same,Same,Same,Same,Availability of Air conditioning Rooms
