How do you feel is the hostel annual room rent when compared to outside private hostel accommodation in Thanjavur / Trichy?,Do you think the answer to the above is based on comparable hostel accommodation?,How do you feel is the hostel annual room rent when compared to other private universities?,How do you compare your hostel with other private accommodation outside? [Hostel Security],How do you compare your hostel with other private accommodation outside? [Room Comfort],How do you compare your hostel with other private accommodation outside? [Food quality],How do you compare your hostel with other private accommodation outside? [Food variety],How do you compare your hostel with other private accommodation outside? [Cleanliness of room],How do you compare your hostel with other private accommodation outside? [Cleanliness of Toilets],How do you compare your hostel with other private accommodation outside? [Hot water Geyser],How do you compare your hostel with other private accommodation outside? [Cooking utilities],"How do you compare your hostel with other private accommodation outside? [Support facilities like hospital, generator, etc.]",How do you compare your hostel with other private accommodation outside? [Entertainment & Sports],How do you compare your hostel with other private accommodation outside? [Wi-Fi & Power],How do you compare your hostel with other private accommodation outside? [Room Infra],How do you compare your hostel with other private accommodation outside? [Hostel Rules],How do you compare your hostel with other private accommodation outside? [Hostel Rent],How do you compare your hostel with other private accommodation outside? [Mess fee],How do you compare your hostel with other private accommodation outside? [Water availability],How do you compare your hostel with other private accommodation outside? [Room mate],How do you compare your hostel with other private accommodation outside? [Support staff],"If changes need to be made on the above, what is the one change in each or any rule subject to reasonable restriction wherever required and possible"
Higher,"No, outside is better",Higher,Same,Same,Same,Inferior,Same,Same,Same,Inferior,Better,Inferior,Better,Same,Inferior,Inferior,Inferior,Same,Better,Inferior,visitors restrictions
Lower,"No, hostel is better",Lower,Better,Better,Inferior,Inferior,Better,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Same,Same,Better,Better,Better,Better,Better,idk its alright. I just need more facilities for hostel.
Lower,"Yes, comparable",Lower,Same,Better,Same,Inferior,Same,Inferior,Same,Inferior,Same,Inferior,Inferior,Same,Inferior,Better,Better,Same,Same,Inferior,changing rooms every semester
Same,"Yes, comparable",Lower,Better,Same,Same,Same,Same,Same,Same,Same,Same,Better,Same,Better,Same,Same,Same,Same,Same,Same,Nice ..
Lower,"Yes, comparable",Lower,Better,Better,Inferior,Inferior,Same,Inferior,Same,Inferior,Same,Inferior,Inferior,Better,Inferior,Better,Inferior,Better,Better,Inferior,In and out time
Lower,"Yes, comparable",Same,Same,Inferior,Inferior,Same,Same,Same,Same,Inferior,Better,Better,Same,Inferior,Inferior,Better,Better,Same,Same,Same,Nothing specific 
Same,"Yes, comparable",Same,Better,Better,Same,Inferior,Same,Same,Same,Same,Better,Inferior,Same,Same,Inferior,Inferior,Inferior,Same,Inferior,Same,Mess should be reduced 
Lower,"No, hostel is better",Lower,Better,Better,Better,Better,Better,Better,Inferior,Better,Better,Better,Better,Better,Inferior,Better,Same,Better,Better,Better,"Cross hostel shifting , in and out timings"
Lower,"Yes, comparable",Lower,Better,Same,Better,Better,Better,Better,Better,Better,Same,Inferior,Same,Same,Same,Same,Inferior,Better,Better,Better,Guest house facilities 
Lower,"Yes, comparable",Lower,Better,Better,Inferior,Inferior,Better,Inferior,Same,Same,Better,Better,Better,Better,Inferior,Better,Same,Better,Better,Better,"Limited Permissions per semester, THIS CAN BE AVOIDED. YEAH, WE KNEW IT HAD SECURITY REASONS, BUT STILL IT IS A HEADACHE "
Same,"Yes, comparable",Same,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Food
Same,"Yes, comparable",Lower,Better,Better,Inferior,Inferior,Same,Inferior,Better,Same,Better,Same,Inferior,Same,Inferior,Better,Inferior,Better,Better,Same,No comments
Same,"Yes, comparable",Same,Better,Same,Same,Same,Same,Inferior,Better,Same,Same,Same,Better,Same,Same,Same,Inferior,Better,Same,Same,Cleaning
Lower,"No, hostel is better",Same,Better,Inferior,Same,Same,Same,Inferior,Inferior,Inferior,Better,Better,Same,Same,Same,Better,Same,Better,Same,Same,"Wifi speed can be better, each semester students are asked to take away their belonging outside hostel and getting it back again,  lots of inconvenience. "
Lower,"No, hostel is better",Lower,Better,Same,Same,Inferior,Inferior,Inferior,Inferior,Better,Same,Same,Same,Inferior,Better,Better,Better,Better,Better,Better,Cleanliness of the rooms 
Same,"Yes, comparable",Lower,Better,Better,Same,Same,Better,Better,Same,Better,Same,Inferior,Better,Same,Same,Same,Inferior,Better,Inferior,Better,Outing
Higher,"No, outside is better",Higher,Same,Better,Inferior,Same,Better,Inferior,Same,Better,Inferior,Better,Inferior,Inferior,Better,Better,Inferior,Same,Better,Same,Outing 
Lower,"No, hostel is better",Lower,Better,Same,Better,Inferior,Inferior,Inferior,Inferior,Same,Same,Same,Same,Inferior,Better,Better,Better,Better,Better,Better,Cleanliness of the room
Lower,"No, outside is better",Lower,Better,Same,Inferior,Same,Same,Better,Same,Same,Better,Better,Better,Better,Better,Better,Better,Better,Better,Inferior,Outing 
Same,"Yes, comparable",Lower,Better,Better,Inferior,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Inferior,Better,Better,Better,Food quality 
Same,"No, hostel is better",Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Food 
Lower,"No, hostel is better",Lower,Better,Same,Better,Inferior,Same,Same,Same,Better,Same,Inferior,Inferior,Same,Inferior,Same,Same,Same,Inferior,Same,"Could provide yoga classes to improve health.
A small shed with washroom facilities could be provided for visitors.
Old hostels could be renovated."
Lower,"No, hostel is better",Lower,Better,Inferior,Better,Same,Better,Better,Inferior,Inferior,Better,Inferior,Inferior,Inferior,Same,Same,Inferior,Better,Better,Better,Reduce the restrictions in a way that students dont exploit them
Same,"No, hostel is better",Higher,Better,Better,Better,Better,Same,Better,Same,Better,Better,Better,Same,Same,Better,Inferior,Same,Better,Better,Same,"Visitors could be provided with some shelter.
Visitors restrictions could be made lenient."
Same,"No, hostel is better",Lower,Better,Better,Same,Same,Better,Better,Better,Better,Same,Inferior,Better,Better,Better,Better,Same,Better,Better,Better,"Could provide AC rooms.
 Limited permissions per sem could be increased."
Lower,"No, hostel is better",Lower,Better,Same,Inferior,Same,Same,Same,Better,Inferior,Same,Same,Better,Better,Better,Better,Better,Same,Same,Better,"Food quality could be increased. 
IN-OUT time could be changed.Allow students to spend more time inside campus which enables to use other colleges facilities. 
Improve hygiene of rooms"
Lower,"Yes, comparable",Same,Better,Inferior,Better,Inferior,Better,Better,Same,Better,Same,Inferior,Better,Better,Inferior,Better,Inferior,Better,Same,Same,"Visitors restrictions could be reduced.
Menu could be changed ie improving variety.
Give sufficient time to change rooms after each year.
Could provide some shelter when visitors come. "
Lower,"No, hostel is better",Lower,Same,Inferior,Same,Same,Inferior,Inferior,Inferior,Same,Better,Same,Better,Same,Same,Better,Same,Same,Same,Better,Hostel outing time for boys and permissions to vist hometown can be extended.
Higher,"No, outside is better",Lower,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,-
Higher,"No, outside is better",Same,Better,Better,Better,Better,Better,Same,Better,Better,Same,Inferior,Better,Better,Better,Better,Better,Better,Inferior,Better,The problem which is faced while booking hostel or section because of server problems we can't get our desired hostel and class please  increase the number or resolve the issue 
Lower,"Yes, comparable",Lower,Better,Better,Same,Inferior,Same,Same,Inferior,Inferior,Same,Better,Better,Inferior,Same,Better,Same,Better,Same,Better,Limited permissions per semester
Lower,"No, outside is better",Lower,Better,Same,Same,Same,Same,Same,Same,Inferior,Inferior,Same,Same,Same,Same,Same,Inferior,Same,Inferior,Inferior,Mess timings can be extended and food quality and variety can be improved
Lower,"Yes, comparable",Lower,Better,Same,Inferior,Same,Same,Inferior,Same,Same,Inferior,Same,Same,Inferior,Same,Better,Better,Same,Same,Same,Mess timings can be extended
Same,"Yes, comparable",Lower,Inferior,Same,Better,Better,Better,Better,Better,Same,Same,Inferior,Same,Same,Same,Inferior,Same,Same,Same,Better,"College hours could be reduced.
Hostel security needs to be improved (There seems to be an issue with laptop theft that needs to be addressed.) 
"
Lower,"Yes, comparable",Lower,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Number of Permission can be increased 
Same,"No, hostel is better",Lower,Better,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,No changes 
Lower,"Yes, comparable",Lower,Better,Same,Inferior,Better,Better,Same,Same,Inferior,Same,Inferior,Same,Better,Same,Better,Inferior,Same,Inferior,Same,More permissions to come home
Higher,"No, hostel is better",Same,Better,Better,Same,Same,Better,Better,Inferior,Inferior,Better,Same,Same,Better,Same,Better,Same,Better,Inferior,Better,The unwanted fines should be removed! 
Lower,"No, hostel is better",Lower,Same,Same,Inferior,Inferior,Same,Inferior,Inferior,Same,Inferior,Same,Same,Better,Better,Better,Inferior,Same,Same,Same,More permission 
Lower,"Yes, comparable",Lower,Better,Better,Same,Inferior,Same,Same,Same,Inferior,Same,Inferior,Inferior,Better,Inferior,Same,Same,Better,Same,Better,More permissions 
Lower,"Yes, comparable",Lower,Better,Better,Inferior,Inferior,Same,Inferior,Inferior,Same,Inferior,Same,Same,Same,Inferior,Better,Better,Better,Better,Better,Increase in the number of Limited permissions per semester and Increase in the IN and OUT timings for both the boys and girls.
Lower,"No, outside is better",Lower,Better,Better,Better,Better,Better,Same,Better,Inferior,Same,Same,Same,Same,Same,Same,Inferior,Better,Same,Same,"Limited Permissions per semester-increase permission
Regulating visits of parents during weekends-allow parents
Changing rooms every semester-if students want let them stay in the same room"
Lower,"No, hostel is better",Lower,Better,Inferior,Same,Inferior,Same,Same,Better,Inferior,Inferior,Same,Same,Inferior,Better,Inferior,Same,Same,Same,Better,"Changing rooms every semester,needs to be changed as it takes time& patience to mingle with new room mates"
Lower,"Yes, comparable",Higher,Better,Same,Better,Same,Better,Inferior,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,shopping needed
Lower,"No, hostel is better",Lower,Better,Same,Same,Inferior,Better,Better,Inferior,Same,Better,Better,Inferior,Same,Better,Better,Inferior,Better,Inferior,Better,"PERMISSION - MORE PERMISSIONS ,PARENTS VISITS - INC. TIMING, CHANGING ROOM- YES "
Lower,"No, hostel is better",Lower,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Inferior,Better,Better,Inferior,Same,Better,Better,"PERMISSION - MORE PERMISSION , IN and OUT TIMINIG-INCREASE, SHOPPING- YES WITH RESTRICTION "
Lower,"No, outside is better",Lower,Better,Inferior,Same,Inferior,Same,Inferior,Better,Inferior,Inferior,Inferior,Same,Same,Better,Better,Better,Better,Same,Better,"PERMISSION - INC. PERMISSION , PARENTS VISITS - INC. TIMIING, CHANGING ROOM - NO"
Lower,"No, hostel is better",Lower,Better,Inferior,Same,Inferior,Better,Same,Better,Inferior,Inferior,Inferior,Same,Inferior,Better,Better,Better,Better,Better,Better,"SHOPPING- NO , CHANGING ROOM - NO , VISITORS - MORE SECURITY"
Lower,"Yes, comparable",Lower,Better,Inferior,Same,Better,Inferior,Inferior,Better,Better,Better,Inferior,Same,Inferior,Better,Better,Better,Better,Better,Better,"Allow children to come home more times per semester
Increase food quality "
Higher,"Yes, comparable",Lower,Same,Inferior,Inferior,Inferior,Same,Same,Same,Inferior,Inferior,Inferior,Same,Same,Inferior,Inferior,Inferior,Same,Inferior,Inferior,"Allow children to come home more times per semester
Increase food quantity "
Lower,"Yes, comparable",Lower,Better,Same,Inferior,Inferior,Inferior,Same,Inferior,Inferior,Inferior,Inferior,Same,Same,Same,Better,Same,Same,Same,Inferior,"Cleaning could be done better and efficiently.mopping is very unhygienic and the room sometimes is left with a bad odour.Also the number of permission per semester is not even practical and should be based on other factors like attendance 
"
Lower,"No, hostel is better",Higher,Better,Better,Better,Better,Better,Better,Same,Same,Inferior,Inferior,Better,Better,Same,Same,Same,Same,Same,Same,"Ample permission per semester
Mess timing 
Visit of parents during weekends "
Lower,"No, hostel is better",Lower,Better,Better,Same,Same,Better,Better,Better,Inferior,Inferior,Same,Better,Better,Better,Better,Same,Better,Better,Better,No change is required 
Lower,"No, hostel is better",Lower,Better,Same,Inferior,Inferior,Same,Better,Better,Inferior,Better,Same,Better,Better,Better,Better,Better,Same,Better,Better,No changes
Lower,"No, hostel is better",Lower,Same,Better,Better,Same,Same,Same,Inferior,Inferior,Better,Better,Better,Better,Same,Better,Better,Better,Better,Same,More Permissions is required 
Lower,"No, hostel is better",Lower,Inferior,Better,Better,Same,Better,Same,Inferior,Inferior,Better,Better,Better,Better,Same,Better,Better,Better,Better,Same,Allow monthly once to go home 
Same,"Yes, comparable",Lower,Better,Inferior,Inferior,Inferior,Same,Inferior,Same,Same,Better,Inferior,Same,Same,Better,Better,Same,Same,Same,Inferior,Room change: Should allow room change to suit the students for their studies and subjects so that coworking and reading is possible; Wi-Fi rule: Should be made linient for students to able to video call their family
Lower,"Yes, comparable",Lower,Same,Inferior,Inferior,Inferior,Same,Inferior,Same,Inferior,Better,Same,Inferior,Better,Better,Better,Better,Same,Same,Inferior,In & Out Time: Should be more linient; Cross Mobility: Should allow during exam times; Wi-Fi Rule: Should allow devices to access call features
Same,"Yes, comparable",Lower,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Inferior,Better,Better,Better,Better,Better,Better,Better,"Wi-Fi Rule: Should be available 24 hours, should allow multi-device connection"
Lower,"Yes, comparable",Lower,Better,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Better,Same,Inferior,Same,Inferior,Mothers should be allowed to visit the rooms
Higher,"No, outside is better",Same,Better,Same,Inferior,Inferior,Better,Better,Better,Same,Inferior,Same,Same,Better,Better,Inferior,Better,Better,Same,Inferior,Allow visits from parents
Same,"Yes, comparable",Same,Better,Same,Inferior,Inferior,Better,Better,Better,Inferior,Inferior,Inferior,Better,Inferior,Better,Better,Same,Inferior,Better,Same,"Need a same room for 4 years it makes easy for managing luggage
Increase mess timings "
Lower,"No, outside is better",Lower,Better,Inferior,Better,Better,Same,Inferior,Better,Inferior,Better,Better,Better,Inferior,Inferior,Better,Same,Same,Same,Same,"Very less- increase
Increase-800 pm
Allow night stay
Allow outings frequently "
Lower,"Yes, comparable",Lower,Better,Same,Inferior,Inferior,Same,Inferior,Inferior,Inferior,Inferior,Same,Better,Better,Inferior,Better,Better,Better,Same,Same,Parent visits must be more liberal
Lower,"No, outside is better",Lower,Better,Inferior,Inferior,Inferior,Same,Same,Inferior,Inferior,Same,Same,Same,Same,Same,Better,Same,Same,Same,Same,Ac Please
Lower,"No, outside is better",Lower,Better,Better,Better,Better,Better,Better,Inferior,Inferior,Same,Same,Better,Same,Better,Better,Better,Better,Better,Better,Increased permissions
Same,"Yes, comparable",Same,Better,Same,Inferior,Same,Inferior,Same,Same,Same,Same,Better,Inferior,Same,Better,Same,Same,Better,Same,Same,"				
IN and OUT time	-in time 7:30				
Cross mobility across hostels	-with permission (easy)								
Changing rooms every semester-should not change					
Mess timings	-1/2 hr more				
Wi-Fi rule		-speed must be given			
Visitors restrictions- allow relatives, parents must be allowed to enter hostel"
Lower,"Yes, comparable",Lower,Inferior,Same,Better,Better,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Limited Permissions per semester Should be Increased (Upto 3 or 4)
Lower,"No, hostel is better",Lower,Better,Better,Inferior,Inferior,Same,Same,Same,Inferior,Same,Same,Same,Same,Same,Same,Same,Same,Same,Better,Limited permission
Same,"No, hostel is better",Same,Better,Same,Better,Inferior,Same,Same,Same,Same,Same,Same,Inferior,Same,Same,Same,Same,Better,Same,Same,Permission
Same,"Yes, comparable",Lower,Same,Same,Same,Same,Same,Inferior,Inferior,Inferior,Inferior,Inferior,Same,Same,Same,Same,Same,Same,Same,Inferior,Limited Permissions per semester
Same,"Yes, comparable",Same,Better,Inferior,Inferior,Inferior,Better,Same,Better,Inferior,Inferior,Same,Inferior,Inferior,Better,Better,Inferior,Better,Better,Same,"Permissions-can make it 3
Weekend shopping-should be flexible
Can allocate room before end of semester
Mess timings can be extended
There is no official way to raise grievances/complaints.
Automated call facility should be in English
There is no way to contact with college through phone "
Same,"Yes, comparable",Same,Better,Same,Inferior,Same,Better,Better,Better,Better,Inferior,Same,Same,Better,Better,Inferior,Inferior,Better,Same,Same,Increase no. of permission
Lower,"Yes, comparable",Lower,Better,Better,Inferior,Inferior,Better,Inferior,Better,Same,Better,Same,Better,Better,Better,Better,Same,Better,Same,Same,"Number of permissions could be improved, Room allotment for luggage"
Lower,"No, hostel is better",Same,Better,Same,Better,Inferior,Same,Same,Better,Same,Better,Same,Better,Better,Better,Better,Better,Better,Same,Inferior,Increase the number of permissions
Same,"No, hostel is better",Lower,Better,Same,Inferior,Better,Same,Inferior,Better,Same,Better,Inferior,Same,Better,Same,Same,Inferior,Better,Same,Better,Increase the number of permission for the leave or give one more open holiday
Same,"No, hostel is better",Higher,Better,Same,Inferior,Inferior,Inferior,Same,Inferior,Better,Same,Better,Better,Better,Better,Same,Same,Same,Better,Same,"Water problems , Quality of the food"
Lower,"No, hostel is better",Lower,Better,Better,Better,Better,Better,Inferior,Better,Same,Better,Better,Better,Better,Same,Same,Same,Better,Better,Better,permissions can be increased
Lower,"Yes, comparable",Lower,Better,Better,Same,Same,Better,Inferior,Better,Same,Better,Better,Better,Better,Inferior,Better,Better,Better,Better,Better,changing rooms every sem needs to be optional
Lower,"Yes, comparable",Lower,Better,Better,Better,Better,Same,Inferior,Better,Same,Better,Better,Better,Better,Better,Better,Better,Same,Better,Better,changing rooms every sem needs to be optional
Lower,"Yes, comparable",Lower,Better,Same,Same,Same,Better,Inferior,Better,Same,Better,Better,Better,Same,Same,Better,Better,Better,Better,Better,changing room every sem needs to be optional
Same,"Yes, comparable",Lower,Better,Better,Better,Better,Same,Better,Better,Same,Inferior,Better,Same,Same,Inferior,Same,Better,Better,Better,Inferior,give more permissions
Same,"Yes, comparable",Same,Same,Same,Inferior,Inferior,Same,Inferior,Better,Same,Same,Inferior,Better,Same,Same,Same,Better,Better,Better,Same,give more permissions
Lower,"No, hostel is better",Lower,Better,Same,Same,Same,Same,Inferior,Same,Same,Better,Better,Better,Better,Same,Better,Better,Better,Better,Better,permissions can be increased 
Higher,"No, outside is better",Same,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Inferior,Same,Inferior,Same,Same,Better,Better,Same,Same,give more permissions per semester
Lower,"Yes, comparable",Lower,Same,Inferior,Inferior,Inferior,Same,Inferior,Better,Inferior,Same,Inferior,Same,Same,Inferior,Better,Inferior,Better,Better,Same,More visit permissions must be given
Same,"Yes, comparable",Lower,Better,Same,Inferior,Inferior,Same,Same,Same,Inferior,Better,Same,Inferior,Same,Inferior,Same,Inferior,Same,Same,Same,Changing rooms every semester and asking students to take things home
Lower,"Yes, comparable",Lower,Better,Inferior,Inferior,Inferior,Better,Better,Same,Inferior,Better,Same,Same,Inferior,Inferior,Better,Same,Same,Inferior,Same,Permission limit can be increased as well as the in timing 
Lower,"No, outside is better",Lower,Same,Same,Better,Inferior,Better,Better,Inferior,Inferior,Inferior,Inferior,Same,Same,Better,Better,Better,Better,Better,Better,Increase permissions 
Same,"Yes, comparable",Same,Better,Better,Better,Same,Better,Same,Better,Inferior,Same,Same,Better,Better,Better,Better,Better,Better,Better,Better,Need additional permission to go home 
Same,"Yes, comparable",Same,Better,Better,Same,Same,Same,Same,Same,Inferior,Better,Same,Same,Same,Same,Same,Same,Same,Better,Better,increase the number of permission because in case of urgent situation it is so hectic
Lower,"Yes, comparable",Higher,Better,Better,Same,Same,Same,Same,Inferior,Inferior,Same,Same,Same,Better,Better,Better,Better,Same,Same,Same,changing rooms can be made permanent all 4 years 
Higher,"Yes, comparable",Higher,Better,Better,Inferior,Inferior,Same,Better,Better,Same,Same,Same,Same,Better,Better,Same,Same,Better,Same,Same,permissions can be increased
Lower,"No, outside is better",Same,Same,Same,Same,Same,Same,Same,Inferior,Same,Same,Same,Better,Same,Better,Better,Same,Same,Better,Better, facing difficulty with permissions at the end of the sem
Same,"No, outside is better",Higher,Better,Same,Inferior,Same,Same,Same,Same,Inferior,Better,Same,Better,Better,Better,Same,Same,Same,Better,Same,"reduce restriction for  permission and outing, changing of rooms can be made same or manual"
Lower,"No, outside is better",Lower,Better,Inferior,Inferior,Inferior,Same,Better,Better,Inferior,Same,Inferior,Same,Inferior,Inferior,Inferior,Inferior,Better,Inferior,Inferior,there could me more permissions per semester
Lower,"Yes, comparable",Lower,Better,Same,Same,Same,Same,Same,Better,Same,Same,Same,Same,Same,Same,Same,Same,Better,Better,Same,Permissions can be increased
Same,"Yes, comparable",Same,Better,Same,Same,Same,Same,Better,Same,Same,Same,Inferior,Inferior,Same,Same,Same,Same,Same,Same,Same,Proper Wi-Fi can be provided
Lower,"Yes, comparable",Lower,Better,Better,Better,Same,Better,Better,Better,Better,Better,Better,Better,Better,Inferior,Same,Same,Better,Better,Inferior,"In and out timings , permission for each semester should be increase"
Lower,"No, hostel is better",Lower,Better,Better,Same,Same,Same,Better,Better,Same,Better,Inferior,Same,Better,Better,Better,Better,Better,Same,Better,Can give 3 permissions per semester
Lower,"No, hostel is better",Lower,Better,Better,Inferior,Inferior,Same,Inferior,Same,Inferior,Better,Inferior,Better,Better,Inferior,Better,Same,Same,Better,Same,many permissions
Lower,"No, outside is better",Lower,Better,Inferior,Same,Inferior,Better,Better,Better,Same,Same,Same,Same,Inferior,Inferior,Better,Same,Better,Better,Same,May be infrastructure and permission
Lower,"Yes, comparable",Lower,Better,Same,Same,Better,Better,Better,Better,Better,Better,Same,Same,Same,Better,Better,Same,Better,Same,Better,"more permissions, allow visitors"
Lower,"No, hostel is better",Lower,Better,Same,Same,Better,Same,Better,Same,Same,Better,Inferior,Better,Better,Better,Same,Same,Better,Same,Better,permissions should be allowed after contacting parents
Same,"No, hostel is better",Lower,Better,Better,Same,Same,Better,Better,Better,Better,Better,Inferior,Same,Same,Better,Better,Inferior,Better,Same,Same,unlimited permissions
Lower,"Yes, comparable",Lower,Better,Better,Better,Same,Better,Better,Better,Inferior,Better,Same,Better,Better,Better,Better,Same,Better,Better,Better,Permissions can be increased
Same,"No, hostel is better",Lower,Better,Inferior,Same,Better,Better,Better,Better,Inferior,Better,Better,Better,Inferior,Better,Better,Better,Better,Better,Better,"MESS TIMINGS NEED TO BE IMPROVED,WIFI AVAILABILITY NEED TO BE IMPROVED"
Lower,"Yes, comparable",Same,Better,Inferior,Better,Better,Better,Same,Better,Inferior,Better,Better,Same,Inferior,Better,Better,Better,Better,Same,Better,"INCREASE NUMBER OF PERMISSIONS,RESTRICT TIMINGS IN CROSS MOBILITY ACROSS HOSTEL,INCREASE MESS TIMINGS,INCREASE WIFI AVAILABILITY"
Lower,"Yes, comparable",Lower,Same,Better,Inferior,Inferior,Same,Same,Same,Same,Inferior,Inferior,Same,Better,Inferior,Better,Same,Better,Better,Better,"Permissions can be increased
Allow them to study in their friends room from other blocks
Mess timings can be increased"
Same,"Yes, comparable",Lower,Better,Inferior,Inferior,Inferior,Inferior,Same,Inferior,Inferior,Better,Better,Inferior,Inferior,Inferior,Same,Inferior,Same,Same,Better,"MORE PERMISSIONS,EXTRA OUT TIME SHOULD BE GIVEN,ALLOW SHOPPING FOR GIRLS ALL THE TIME,ONE ROOM THROUGHOUT THE YEAR,INCREASE MESS TIMINGS"
Lower,"Yes, comparable",Lower,Better,Same,Inferior,Inferior,Same,Same,Inferior,Same,Better,Better,Same,Inferior,Inferior,Same,Inferior,Same,Same,Same,"NO LIMIT FOR PERMISSIONS,IN TIME SHOULD BE EXTENDED TO PAST 9,ONE ROOM PER YEAR"
Lower,"Yes, comparable",Lower,Better,Better,Better,Better,Better,Same,Same,Same,Better,Same,Same,Inferior,Better,Better,Inferior,Better,Same,Same,"MORE PERMISSIONS,WEEKLY ONE SHOPPING FOR GIRLS"
Lower,"Yes, comparable",Lower,Better,Same,Better,Better,Same,Same,Better,Inferior,Same,Inferior,Better,Better,Better,Better,Same,Better,Inferior,Same,Mess timings can be extended
Lower,"Yes, comparable",Lower,Better,Inferior,Inferior,Inferior,Same,Same,Same,Same,Inferior,Inferior,Inferior,Inferior,Better,Better,Better,Same,Better,Same,"Upto 5 permissions can be given
hostels can be nearer
outing can be given twice a month
wifi facilities can be improved 
allow guardians to visit"
Same,"No, outside is better",Lower,Better,Inferior,Same,Inferior,Same,Same,Inferior,Inferior,Same,Inferior,Same,Inferior,Inferior,Same,Same,Same,Same,Inferior,"Increase in number of permissions.
Extend IN and OUT time
Students can be allowed to move across hostels anytime
Parents can be allowed whenever they need
Weekend shopping for girls can be increased
Visitor restrictions can be reduced"
Lower,"Yes, comparable",Lower,Better,Same,Same,Inferior,Same,Same,Same,Same,Better,Inferior,Same,Same,Same,Better,Same,Same,Same,Better,"Increase in number of permissions
Increase IN time
Increase IN time for weekend shopping
Mess timings can be extended during weekends"
Lower,"No, hostel is better",Lower,Better,Better,Better,Better,Better,Inferior,Better,Inferior,Same,Better,Better,Better,Better,Better,Better,Better,Better,Inferior,"Change to 1 permission permission month, permanent room allotment for 4 years"
Lower,"Yes, comparable",Lower,Inferior,Better,Same,Same,Better,Inferior,Better,Inferior,Better,Better,Better,Better,Better,Better,Better,Better,Better,Same,Leaves can be increased with parent permission
Lower,"Yes, comparable",Lower,Better,Same,Inferior,Inferior,Same,Same,Same,Better,Same,Same,Inferior,Same,Same,Better,Inferior,Same,Better,Better,"Increase in number of permissions
Mess timings can be extended"
Same,"Yes, comparable",Lower,Inferior,Better,Same,Same,Better,Better,Better,Inferior,Better,Better,Better,Better,Better,Better,Better,Better,Better,Same,"Leaves can be allowed every weekend, can allow students during night for educational purposes "
Lower,"No, hostel is better",Lower,Better,Better,Better,Better,Better,Inferior,Better,Inferior,Better,Inferior,Better,Better,Better,Better,Better,Better,Inferior,Better,Leaves for emergency purpose and 1 room for 4 years permanently 
Lower,"No, hostel is better",Lower,Inferior,Better,Better,Better,Better,Better,Better,Inferior,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Leaves should be increased and can allow parents to the room
Lower,"Yes, comparable",Lower,Better,Better,Same,Same,Better,Better,Same,Same,Same,Same,Same,Inferior,Better,Same,Better,Same,Inferior,Better,allowing  parents to come to ward's room
Same,"Yes, comparable",Same,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Same,Same,Same,Same,limited permissions per semester should improved
Lower,"No, hostel is better",Lower,Better,Same,Better,Inferior,Better,Inferior,Same,Same,Same,Inferior,Better,Better,Same,Inferior,Better,Same,Same,Same,I think it's better to allot one room for the students to place their luggage after completion of semester(even)
Same,"Yes, comparable",Lower,Better,Better,Same,Same,Better,Inferior,Same,Same,Better,Inferior,Better,Better,Better,Same,Same,Better,Same,Same,every year room changing is fine instead of every sem
Lower,"Yes, comparable",Lower,Better,Better,Inferior,Same,Better,Better,Better,Inferior,Inferior,Inferior,Better,Better,Inferior,Better,Inferior,Better,Better,Same,It's better if you increase number of permissions per semester.
Lower,"Yes, comparable",Lower,Better,Better,Same,Better,Better,Same,Better,Better,Inferior,Same,Better,Better,Better,Inferior,Better,Inferior,Better,Better,"1) cross mobility across hostels should be diluted
2) in and out timings can be extended"
Lower,"Yes, comparable",Same,Same,Same,Inferior,Same,Same,Inferior,Same,Inferior,Same,Inferior,Same,Better,Same,Better,Same,Same,Same,Same,allowing parents to the rooms of their ward
Lower,"No, hostel is better",Lower,Better,Better,Inferior,Inferior,Better,Better,Same,Same,Better,Better,Better,Better,Better,Better,Same,Better,Better,Better,INCREASE PERMISSIONS
Same,"Yes, comparable",Lower,Same,Better,Same,Same,Better,Inferior,Same,Same,Same,Same,Same,Better,Better,Better,Same,Same,Same,Same,at the end of the semester itself the new room for the next sem has to be given
